listing_id,fit_init,variability_init,activity_init,reviews_pq,price_log,superhost,amenity_count,sentiment,entry_qtr,lifetime,censored,district,is_tourist,entry_q
16469059,1.040003575,0.1616492347765838,7.710517927737434,8.75,,0,23.0,0.03591289348485838,2023Q2,6,0,Yau Tsim Mong,1,2023Q2
16484996,1.07130781,0.2336773104148691,7.414016278670771,9.5,5.634789603169249,0,15.0,0.060835761379000944,2023Q1,10,1,Yau Tsim Mong,1,2023Q1
16498756,1.2391335374999999,0.2629635232234848,7.71147645997545,6.75,6.369900982828227,0,16.0,0.022355253863696474,2023Q2,8,0,Yau Tsim Mong,1,2023Q2
16766385,1.5223964250000002,0.1028191827425465,7.694591686062206,38.0,5.905361848054571,1,71.0,0.012799915712932576,2023Q3,8,1,Yau Tsim Mong,1,2023Q3
17001994,0.75138845,0.1259623674778696,2.726764073129336,9.0,,0,40.0,0.040258200432400554,2021Q4,11,0,Wan Chai,1,2021Q4
17143583,0.827288,0.1717042237108746,5.346188318937788,5.5,6.1092475827643655,0,8.0,0.0494472789115646,2021Q2,2,0,Islands,0,2021Q2
18087060,1.0152588666666666,0.1364447846007926,6.296308577782471,8.75,5.7430031878094825,0,12.0,0.08159679283454738,2022Q3,12,1,Yau Tsim Mong,1,2022Q3
18087718,1.17625885,0.1281539683623733,6.806827301738064,7.5,,0,12.0,0.028224711190404976,2022Q4,6,0,Yau Tsim Mong,1,2022Q4
18088780,0.9832854133333333,0.140748876740376,6.295926048335917,8.75,6.013715156042802,0,11.0,0.027636133459788825,2022Q3,12,1,Yau Tsim Mong,1,2022Q3
18111436,0.7150018425,0.232254087968025,6.804525447353283,7.0,5.662960480135946,0,12.0,0.04141525918087585,2022Q4,11,1,Yau Tsim Mong,1,2022Q4
18259844,1.2026403,0.1678645509395712,4.804021044733257,5.0,5.4510384535657,0,12.0,0.0376666485280513,2021Q1,1,0,Yau Tsim Mong,1,2021Q1
18530176,0.91149975,0.2027397261631821,7.412901550660566,11.25,5.579729825986222,0,14.0,0.0331168892014441,2023Q1,10,1,Yau Tsim Mong,1,2023Q1
18530387,1.003194,0.2050566525798421,4.692902570653462,4.0,,0,11.0,0.01737455635547475,2021Q4,2,0,Yau Tsim Mong,1,2021Q4
18837891,0.8884758375,0.1174131961858828,6.026525003910985,11.25,7.197435354096591,0,33.0,0.02707221400591068,2023Q3,8,1,Wan Chai,1,2023Q3
19997094,1.2449649333333332,0.1061240914025631,6.805477321789857,7.5,5.4510384535657,0,10.0,0.019206405947588875,2022Q4,11,1,Yau Tsim Mong,1,2022Q4
20585110,1.44558405,0.0795800840794664,7.7123954459882516,4.75,5.996452088619021,0,22.0,0.0176185476183927,2023Q2,7,0,Yau Tsim Mong,1,2023Q2
20690610,1.388281325,0.2857866113200492,7.416329863248832,7.5,6.077642243349034,0,25.0,0.044486039492582,2023Q1,10,1,Yau Tsim Mong,1,2023Q1
20792481,1.09956721,0.2982390213094447,7.417240595459468,6.5,6.311734809152915,0,24.0,0.004320251778347901,2023Q1,8,0,Yau Tsim Mong,1,2023Q1
21003945,1.260009975,0.1864638008527239,6.030800812795718,9.5,5.476463551931511,0,19.0,0.014341608191040526,2023Q3,8,1,Wan Chai,1,2023Q3
21022859,1.302406025,0.1217129167522791,5.619645400888916,13.25,5.5053315359323625,0,17.0,0.02653736527415685,2023Q1,10,1,Wan Chai,1,2023Q1
21031104,1.374537725,0.123034151115736,5.958187378175007,14.5,5.472270673671475,0,19.0,0.027706506195697898,2023Q2,9,1,Wan Chai,1,2023Q2
21155716,1.332566325,0.1149772061623298,6.015322533742528,15.75,5.60947179518496,0,19.0,0.030791150715091628,2023Q3,8,1,Wan Chai,1,2023Q3
21231752,1.1071133175,0.2338449524478056,4.606133328316964,24.5,7.168579897264035,0,39.0,0.0542918203052331,2021Q1,18,1,Yau Tsim Mong,1,2021Q1
21431266,1.35519785,0.1313014463232442,5.606463299120588,19.5,5.634789603169249,0,19.0,0.024304591080563525,2023Q1,10,1,Wan Chai,1,2023Q1
21486024,1.35279905,0.2808176797575464,5.965803308075629,11.75,5.529429087511423,0,22.0,0.023052679296283175,2023Q2,9,1,Wan Chai,1,2023Q2
21754532,0.9882912833333334,0.0628969432192288,3.754350299021471,7.5,6.073044534100405,1,31.0,0.01753213546138635,2023Q2,4,0,Sham Shui Po,0,2023Q2
21757910,0.4288726625,0.1070464814270316,3.3863188497790535,11.0,5.963579343618446,1,29.0,0.012162310670984399,2023Q1,10,1,Sham Shui Po,0,2023Q1
21802142,0.7195606425,0.1682023874223256,3.2612760729643444,13.5,6.680854678790215,1,32.0,0.0179180641147666,2023Q1,10,1,Sham Shui Po,0,2023Q1
21887082,1.291413025,0.0758326784856044,5.267809670402674,11.75,6.645090969505644,0,23.0,0.060677599406830124,2021Q1,5,0,Islands,0,2021Q1
22230848,1.51215915,0.1026184955102613,1.986211677750499,5.5,7.117205503164344,1,47.0,0.06211023892529743,2021Q2,6,0,Central & Western,1,2021Q2
22545244,1.3040736666666666,0.1550010595362351,7.708121901312398,8.0,5.525452939131784,0,39.0,0.02003371878076805,2023Q3,7,0,Yau Tsim Mong,1,2023Q3
22617624,0.80307311,0.1047668057004661,7.4123622869499535,16.5,5.799092654460526,1,16.0,0.0341452065566522,2023Q1,7,0,Yau Tsim Mong,1,2023Q1
22693111,0.828211705,0.2663274200913536,7.411548127123955,14.25,5.267858159063328,1,16.0,0.018685267887055476,2023Q1,5,0,Yau Tsim Mong,1,2023Q1
22850418,0.7703145,0.1130053638347238,5.3509476218767835,4.5,6.013715156042802,1,34.0,0.0452251872300181,2021Q2,2,0,Islands,0,2021Q2
22853034,1.05288245,0.2589074493822439,7.41456200129554,11.5,5.68697535633982,1,13.0,0.03916348321525555,2023Q1,5,0,Yau Tsim Mong,1,2023Q1
22888908,0.78964739,0.2988527574546956,7.4171300909527496,5.75,5.703782474656201,0,23.0,0.03273931311655093,2023Q1,5,0,Yau Tsim Mong,1,2023Q1
22948303,0.52730736,0.0938156116885722,7.713853212537989,11.0,5.746203190540153,1,18.0,0.04236017817351665,2023Q4,7,1,Yau Tsim Mong,1,2023Q4
22948454,0.6324726566666666,0.0775093196929603,7.714540977525216,9.5,5.82600010738045,1,20.0,0.011483422093179974,2023Q4,7,1,Yau Tsim Mong,1,2023Q4
22977571,1.0214186,0.2280370150685937,6.8028753945510045,7.0,7.917536353943631,0,30.0,0.0229168434832258,2022Q4,11,1,Yau Tsim Mong,1,2022Q4
23008094,1.0259313625,0.124963900449588,7.413497999005289,11.5,5.860786223465865,1,16.0,0.018007470414478574,2023Q1,7,0,Yau Tsim Mong,1,2023Q1
